PLAYER	POS	TEAM	GP	MPG	FG%	FGM	FGA	zFG%	FT%	FTM	FTA	zFT%	3PM	z3PM	PTS	zPTS	REB	zREB	AST	zAST	STL	zSTL	BLK	zBLK	TO	zTO	TOTAL
221	Jock Landale	C	PHX	15	14.8	0.513	2.9	5.6		0.47	0.778	1.4	1.8		-0.01	0.2	-1.28	7.3	-0.67	4.1	-0.23	0.7	-0.99	0.3	-1.09	0.8	0.64	0.8	0.75	-2.41
222	Aaron Wiggins	SG,SF	OKL	13	21.2	0.462	2.3	5.0		-0.01	0.787	0.9	1.1		0.03	0.8	-0.67	6.2	-0.82	4.0	-0.27	2.0	-0.35	0.5	-0.65	0.3	-0.43	0.8	0.75	-2.42
223	Tre Mann	PG,SG	OKL	13	24.1	0.401	4.2	10.5		-1.19	0.626	0.8	1.2		-0.63	1.9	0.48	11.1	-0.14	3.1	-0.62	2.2	-0.25	0.9	0.22	0.1	-0.85	1.0	0.54	-2.45
224	Patrick Beverley	PG,SG	LAL	12	27.9	0.280	1.3	4.8		-1.50	0.824	1.2	1.4		0.21	0.8	-0.70	4.6	-1.04	3.7	-0.39	2.9	0.10	1.0	0.44	0.5	0.00	1.1	0.43	-2.45
225	Nicolas Batum	SF,PF	LAC	17	17.9	0.443	1.6	3.6		-0.11	0.618	0.5	0.8		-0.41	1.1	-0.30	4.8	-1.01	3.9	-0.31	1.2	-0.74	0.4	-0.87	0.8	0.64	0.9	0.65	-2.47
226	Precious Achiuwa	PF,C	TOR	12	20.4	0.397	3.1	7.8		-0.91	0.847	2.3	2.8		0.62	0.4	-1.05	8.9	-0.44	7.0	0.89	1.3	-0.69	0.2	-1.31	0.6	0.21	1.3	0.22	-2.47
227	Shaedon Sharpe	SG,SF,PF	POR	15	21.0	0.532	3.9	7.3		0.84	0.730	0.7	1.0		-0.17	1.2	-0.21	9.7	-0.33	2.5	-0.85	0.4	-1.14	0.3	-1.09	0.3	-0.43	0.7	0.86	-2.51
228	Luke Kennard	SG,SF	LAC	14	21.3	0.513	2.9	5.7		0.49	1.000	0.2	0.2		0.15	1.6	0.26	7.7	-0.61	2.9	-0.70	0.6	-1.04	0.6	-0.44	0.0	-1.07	1.1	0.43	-2.52
229	Josh Richardson	SG,SF	SAS	16	23.2	0.405	3.4	8.5		-0.90	0.845	1.7	2.0		0.43	1.7	0.31	10.3	-0.25	2.3	-0.93	3.1	0.20	0.7	-0.22	0.1	-0.85	1.8	-0.32	-2.53
230	Seth Curry	PG,SG	BRO	7	21.1	0.392	2.9	7.3		-0.92	0.860	0.9	1.0		0.27	1.7	0.33	8.3	-0.53	1.7	-1.16	2.0	-0.35	0.6	-0.44	0.3	-0.43	0.9	0.65	-2.57
231	Steven Adams	C	MEM	15	26.0	0.627	2.9	4.7		1.33	0.258	0.6	2.3		-4.06	0.0	-1.50	6.5	-0.78	10.7	2.32	2.5	-0.10	0.7	-0.22	1.1	1.28	2.3	-0.86	-2.58
232	AJ Griffin	SG,SF	ATL	12	14.8	0.494	3.2	6.4		0.32	1.000	0.3	0.3		0.18	1.1	-0.34	7.7	-0.61	2.0	-1.05	0.7	-0.99	0.7	-0.22	0.1	-0.85	0.6	0.97	-2.58
233	Malachi Flynn	PG	TOR	10	12.3	0.472	2.5	5.3		0.08	0.909	1.0	1.1		0.47	1.4	0.00	7.4	-0.65	1.6	-1.20	1.2	-0.74	0.5	-0.65	0.1	-0.85	0.6	0.97	-2.58
234	Taurean Prince	SF,PF	MIN	16	19.4	0.506	2.9	5.7		0.42	0.862	1.2	1.4		0.38	1.3	-0.16	8.2	-0.54	2.5	-0.85	1.2	-0.74	0.3	-1.09	0.2	-0.64	0.9	0.65	-2.58
