R#	PLAYER	POS	TEAM	GP	MPG	FG%	FT%	3PM	PTS	TREB	AST	STL	BLK	TO
182	Kevin Huerter	SG,SF	ATL	67	26.2	-0.84	0.21	0.49	-0.47	-0.85	0.36	-0.31	-0.26	0.28
183	Dillon Brooks	SG,SF	MEM	70	28.7	-1.62	0.19	0.52	0.43	-0.60	-0.18	0.02	-0.34	-0.16
184	Shake Milton	PG,SG	PHI	60	24.7	-0.06	0.21	0.24	-0.31	-0.83	0.44	-0.65	-0.67	0.08
185	Frank Ntilikina	PG,SG	NYK	68	24.6	-0.79	0.26	-0.36	-0.85	-0.90	0.66	0.53	-0.22	0.01
186	De'Anthony Melton	PG,SG	MEM	68	20.2	-0.75	0.16	-0.87	-0.81	-0.38	0.32	1.09	-0.53	0.13
187	Michael Carter-Williams	PG,SG	ORL	58	18.1	-0.30	0.77	-1.16	-0.94	-0.64	-0.01	0.48	-0.07	0.42
188	Enes Kanter	C	POR	55	16.0	1.63	-0.47	-1.71	-0.85	0.94	-0.78	-1.16	0.50	0.51
189	Cameron Johnson	SF,PF	PHX	64	24.2	-0.35	0.12	0.67	-0.54	-0.50	-0.60	-0.56	-0.22	0.44
190	RJ Barrett	SG,SF	NYK	68	34.2	-1.19	-2.38	0.01	0.58	0.44	0.38	0.85	-0.22	-1.42
191	Moritz Wagner	PF,C	WAS	58	18.4	1.25	0.32	-1.06	-0.73	0.00	-0.67	-0.73	-0.31	0.08
192	Mason Plumlee	PF,C	DET	60	24.6	2.15	-3.08	-1.73	-0.60	0.85	0.49	-0.56	0.62	-0.19
193	Tristan Thompson 	PF,C	BOS	64	24.4	1.24	-1.68	-1.54	-0.53	1.44	-0.39	-0.97	0.48	0.09
194	Monte Morris	PG,SG	DEN	67	22.7	0.11	0.32	-0.66	-0.59	-1.16	0.69	-0.12	-0.77	0.96
195	Jeff Teague	PG,SG	BOS	64	19.4	-0.18	1.37	-0.97	-0.63	-1.20	1.05	-0.87	-0.55	-0.02
196	Jabari Parker	SF,PF	SAC	50	17.1	0.94	-0.09	-0.99	-0.53	-0.15	-0.68	-0.10	-0.48	0.36
197	Rodney Hood 	SG,SF	POR	50	24.8	0.76	-0.02	0.12	-0.61	-0.73	-0.63	-0.29	-0.86	0.92
198	Onyeka Okongwu 	PF,C	ATL	58	17.7	1.55	-0.33	-1.71	-0.62	-0.19	-1.12	-0.99	1.44	-0.23
199	Thaddeus Young	PF	CHI	67	20.7	0.14	-0.63	-0.47	-0.66	-0.21	-0.50	0.70	-0.46	0.18
200	Vincent Poirier	C	OKL	54	19.1	0.42	0.00	-1.73	-1.13	0.62	-0.65	-1.38	1.70	0.36
